point,rt,signal
0,0.214,0
1,0.223,0
2,0.232,0
3,0.241,0
4,0.250,0
5,0.260,0
6,0.269,0
7,0.278,0
8,0.287,0
9,0.296,0
10,0.306,0
11,0.315,0
12,0.324,0
13,0.333,0
14,0.342,0
15,0.351,0
16,0.361,0
17,0.370,0
18,0.379,0
19,0.388,0
20,0.397,0
21,0.407,0
22,0.416,0
23,0.425,0
24,0.434,0
25,0.443,0
26,0.453,0
27,0.462,0
28,0.471,0
29,0.480,0
30,0.489,0
31,0.499,0
32,0.508,0
33,0.517,0
34,0.526,0
35,0.535,0
36,0.544,0
37,0.554,0
38,0.563,0
39,0.572,0
40,0.581,0
41,0.590,0
42,0.600,0
43,0.609,0
44,0.618,0
45,0.627,0
46,0.636,0
47,0.646,0
48,0.655,0
49,0.664,0
50,0.673,0
51,0.682,0
52,0.691,0
53,0.701,0
54,0.710,0
55,0.719,0
56,0.728,0
57,0.737,0
58,0.747,0
59,0.756,0
60,0.765,0
61,0.774,0
62,0.783,0
63,0.793,0
64,0.802,0
65,0.811,0
66,0.820,0
67,0.829,0
68,0.839,0
69,0.848,0
70,0.857,0
71,0.866,0
72,0.875,0
73,0.884,0
74,0.894,0
75,0.903,0
76,0.912,0
77,0.921,0
78,0.930,0
79,0.940,0
80,0.949,0
81,0.958,0
82,0.967,0
83,0.976,0
84,0.986,0
85,0.995,0
86,1.004,0
87,1.013,0
88,1.022,0
89,1.032,0
90,1.041,0
91,1.050,0
92,1.059,0
93,1.068,0
94,1.077,0
95,1.087,0
96,1.096,0
97,1.105,0
98,1.114,0
99,1.123,0
100,1.133,0
101,1.142,0
102,1.151,0
103,1.160,0
104,1.169,0
105,1.179,0
106,1.188,0
107,1.197,0
108,1.206,0
109,1.215,0
110,1.225,0
111,1.234,0
112,1.243,0
113,1.252,0
114,1.261,0
115,1.270,0
116,1.280,0
117,1.289,0
118,1.298,0
119,1.307,0
120,1.316,0
121,1.326,0
122,1.335,0
123,1.344,0
124,1.353,0
125,1.362,0
126,1.372,0
127,1.381,0
128,1.390,0
129,1.399,0
130,1.408,0
131,1.417,0
132,1.427,0
133,1.436,0
134,1.445,0
135,1.454,0
136,1.463,0
137,1.473,0
138,1.482,0
139,1.491,0
140,1.500,0
141,1.509,0
142,1.519,0
143,1.528,0
144,1.537,0
145,1.546,0
146,1.555,0
147,1.565,0
148,1.574,0
149,1.583,0
150,1.592,0
151,1.601,0
152,1.610,0
153,1.620,0
154,1.629,0
155,1.638,0
156,1.647,0
157,1.656,0
158,1.666,0
159,1.675,0
160,1.684,0
161,1.693,0
162,1.702,0
163,1.712,0
164,1.721,0
165,1.730,0
166,1.739,0
167,1.748,0
168,1.758,0
169,1.767,0
170,1.776,0
171,1.785,0
172,1.794,0
173,1.803,0
174,1.813,0
175,1.822,0
176,1.831,0
177,1.840,0
178,1.849,0
179,1.859,0
180,1.868,0
181,1.877,0
182,1.886,0
183,1.895,0
184,1.905,0
185,1.914,0
186,1.923,0
187,1.932,0
188,1.941,0
189,1.950,0
190,1.960,0
191,1.969,0
192,1.978,0
193,1.987,0
194,1.996,0
195,2.006,0
196,2.015,0
197,2.024,0
198,2.033,0
199,2.042,0
200,2.052,0
201,2.061,0
202,2.070,0
203,2.079,0
204,2.088,0
205,2.098,0
206,2.107,0
207,2.116,0
208,2.125,0
209,2.134,0
210,2.143,0
211,2.153,0
212,2.162,0
213,2.171,0
214,2.180,0
215,2.189,0
216,2.199,0
217,2.208,0
218,2.217,0
219,2.226,0
220,2.235,0
221,2.245,0
222,2.254,0
223,2.263,0
224,2.272,0
225,2.281,0
226,2.291,0
227,2.300,0
228,2.309,0
229,2.318,0
230,2.327,0
231,2.336,0
232,2.346,0
233,2.355,0
234,2.364,0
235,2.373,0
236,2.382,0
237,2.392,0
238,2.401,0
239,2.410,0
240,2.419,0
241,2.428,0
242,2.438,0
243,2.447,0
244,2.456,0
245,2.465,0
246,2.474,0
247,2.483,0
248,2.493,0
249,2.502,0
250,2.511,0
251,2.520,0
252,2.529,0
253,2.539,0
254,2.548,0
255,2.557,0
256,2.566,0
257,2.575,0
258,2.585,0
259,2.594,0
260,2.603,0
261,2.612,0
262,2.621,0
263,2.631,0
264,2.640,0
265,2.649,0
266,2.658,0
267,2.667,0
268,2.676,0
269,2.686,0
270,2.695,0
271,2.704,0
272,2.713,0
273,2.722,0
274,2.732,0
275,2.741,0
276,2.750,0
277,2.759,0
278,2.768,0
279,2.778,0
280,2.787,0
281,2.796,0
282,2.805,0
283,2.814,0
284,2.824,0
285,2.833,0
286,2.842,0
287,2.851,0
288,2.860,0
289,2.869,0
290,2.879,0
291,2.888,0
292,2.897,0
293,2.906,0
294,2.915,0
295,2.925,0
296,2.934,0
297,2.943,0
298,2.952,0
299,2.961,0
300,2.971,0
301,2.980,0
302,2.989,0
303,2.998,0
304,3.007,0
305,3.016,0
306,3.026,0
307,3.035,0
308,3.044,0
309,3.053,0
310,3.062,0
311,3.072,0
312,3.081,0
