point,rt,signal
0,0.214,5863
1,0.223,6134
2,0.232,6048
3,0.241,5799
4,0.250,6270
5,0.260,5710
6,0.269,5816
7,0.278,6009
8,0.287,5596
9,0.296,5218
10,0.306,5251
11,0.315,4988
12,0.324,5478
13,0.333,5170
14,0.342,5281
15,0.351,5038
16,0.361,5098
17,0.370,5015
18,0.379,4718
19,0.388,4614
20,0.397,4788
21,0.407,4697
22,0.416,4691
23,0.425,4663
24,0.434,4335
25,0.443,4478
26,0.453,4189
27,0.462,4449
28,0.471,4419
29,0.480,4542
30,0.489,4280
31,0.499,4254
32,0.508,4547
33,0.517,4353
34,0.526,4240
35,0.535,4227
36,0.544,4101
37,0.554,3811
38,0.563,3945
39,0.572,4252
40,0.581,4306
41,0.590,4416
42,0.600,4245
43,0.609,4100
44,0.618,4128
45,0.627,4018
46,0.636,4034
47,0.646,3783
48,0.655,4097
49,0.664,3864
50,0.673,3946
51,0.682,3906
52,0.691,3954
53,0.701,3714
54,0.710,3899
55,0.719,4020
56,0.728,3501
57,0.737,3625
58,0.747,3888
59,0.756,3709
60,0.765,3862
61,0.774,4194
62,0.783,3639
63,0.793,3644
64,0.802,3816
65,0.811,3713
66,0.820,3672
67,0.829,3712
68,0.839,3611
69,0.848,3782
70,0.857,3515
71,0.866,3647
72,0.875,3736
73,0.884,3426
74,0.894,3515
75,0.903,3699
76,0.912,3415
77,0.921,3795
78,0.930,3321
79,0.940,3705
80,0.949,3506
81,0.958,3937
82,0.967,3447
83,0.976,3547
84,0.986,3573
85,0.995,3259
86,1.004,3445
87,1.013,3468
88,1.022,3346
89,1.032,3601
90,1.041,3342
91,1.050,3145
92,1.059,3317
93,1.068,3408
94,1.077,3413
95,1.087,3468
96,1.096,3452
97,1.105,3636
98,1.114,3384
99,1.123,3286
100,1.133,3463
101,1.142,3238
102,1.151,3436
103,1.160,3483
104,1.169,3228
105,1.179,3147
106,1.188,3535
107,1.197,3445
108,1.206,3234
109,1.215,3229
110,1.225,3280
111,1.234,3350
112,1.243,3122
113,1.252,3232
114,1.261,3605
115,1.270,3477
116,1.280,3240
117,1.289,3255
118,1.298,3443
119,1.307,3454
120,1.316,3330
121,1.326,3082
122,1.335,3313
123,1.344,3167
124,1.353,3068
125,1.362,3016
126,1.372,3399
127,1.381,3160
128,1.390,3134
129,1.399,3500
130,1.408,3001
131,1.417,3138
132,1.427,3153
