rt,signal
6.23E-06,6.861328125
0.000339567,6.838671875
0.0006729,6.835026042
0.001006233,6.86015625
0.001339567,6.880338542
0.0016729,6.8765625
0.002006233,6.857942708
0.002339567,6.836328125
0.0026729,6.834635417
0.003006233,6.844401042
0.003339567,6.85625
0.0036729,6.856380208
0.004006233,6.841666667
0.004339567,6.82421875
0.0046729,6.820703125
0.005006233,6.846354167
0.005339567,6.877604167
0.0056729,6.876171875
0.006006233,6.856901042
0.006339567,6.840364583
0.0066729,6.841145833
0.007006233,6.854427083
0.007339567,6.870052083
0.0076729,6.872786458
0.008006233,6.849348958
0.008339567,6.838020833
0.0086729,6.855078125
0.009006233,6.875911458
0.009339567,6.872786458
0.0096729,6.849869792
0.010006233,6.831119792
0.010339567,6.832421875
0.0106729,6.847135417
0.011006233,6.866145833
0.011339567,6.868359375
0.0116729,6.849479167
0.012006233,6.836197917
0.012339567,6.839583333
0.0126729,6.854557292
0.013006233,6.869270833
0.013339567,6.866276042
0.0136729,6.862760417
0.014006233,6.850260417
0.014339567,6.84921875
0.0146729,6.86015625
0.015006233,6.868619792
0.015339567,6.860286458
0.0156729,6.841276042
0.016006233,6.828515625
0.016339567,6.834635417
0.0166729,6.844270833
0.017006233,6.850911458
0.017339567,6.856510417
0.0176729,6.85625
0.018006233,6.863932292
0.018339567,6.864973958
0.0186729,6.873567708
0.019006233,6.87265625
0.019339567,6.867057292
0.0196729,6.855208333
0.020006233,6.851692708
0.020339567,6.85390625
0.0206729,6.8609375
0.021006233,6.856119792
0.021339567,6.848828125
0.0216729,6.845442708
0.022006233,6.857291667
0.022339567,6.87421875
0.0226729,6.87109375
0.023006233,6.858203125
0.023339567,6.845052083
0.0236729,6.844661458
0.024006233,6.855859375
0.024339567,6.863151042
0.0246729,6.865885417
0.025006233,6.861197917
0.025339567,6.852083333
0.0256729,6.853645833
0.026006233,6.861328125
0.026339567,6.874479167
0.0266729,6.884244792
0.027006233,6.862369792
0.027339567,6.838151042
0.0276729,6.820442708
0.028006233,6.833333333
0.028339567,6.858203125
0.0286729,6.867317708
0.029006233,6.866927083
0.029339567,6.857421875
0.0296729,6.851953125
0.030006233,6.858723958
0.030339567,6.868359375
0.0306729,6.88046875
0.031006233,6.871614583
0.031339567,6.846614583
0.0316729,6.827604167
0.032006233,6.826171875
0.032339567,6.845182292
0.0326729,6.863671875
0.033006233,6.862630208
0.033339567,6.851822917
0.0336729,6.833463542
0.034006233,6.836588542
0.034339567,6.846744792
0.0346729,6.849609375
0.035006233,6.844791667
0.035339567,6.830989583
0.0356729,6.834765625
0.036006233,6.850260417
0.036339567,6.8640625
0.0366729,6.852604167
0.037006233,6.851822917
0.037339567,6.854557292
0.0376729,6.8609375
0.038006233,6.840364583
0.038339567,6.841276042
0.0386729,6.850651042
0.039006233,6.854947917
0.039339567,6.837369792
0.0396729,6.830598958
0.040006233,6.849348958
0.040339567,6.869140625
0.0406729,6.8609375
0.041006233,6.839973958
0.041339567,6.828776042
0.0416729,6.841666667
0.042006233,6.851432292
0.042339567,6.858333333
0.0426729,6.861979167
0.043006233,6.847005208
0.043339567,6.835677083
0.0436729,6.844921875
0.044006233,6.865755208
0.044339567,6.866796875
0.0446729,6.853255208
0.045006233,6.848697917
0.045339567,6.854817708
0.0456729,6.845182292
0.046006233,6.836328125
0.046339567,6.841927083
0.0466729,6.842578125
